ItemName,Value,Day
entrance_heater_temperature,21.9,1
livingroom_table_noise,0.186233,1
entrance_heater_effective_mode,1,1
livingroom_presence_table,OFF,1
entrance_heater_command,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
walkway_light,100,1
livingroom_tv_plug_consumption,0,1
walkway_switch2_top_right,ON,1
livingroom_tv_status,OFF,1
global_lighting_power,45,1
kitchen_presence,OFF,1
kitchen_presence,ON,1
bedroom_CO2,586.88,1
entrance_heater_effective_setpoint,21,1
walkway_light,0,1
global_lighting_power,17,1
walkway_noise,0.477138,1
kitchen_presence,OFF,1
livingroom_presence_table,OFF,1
livingroom_tv_plug_consumption,0,1
office_tv_status,OFF,1
global_shutters_power,0,1
staircase_switch_left,OFF,1
office_tv_plug_consumption,0,1
livingroom_shutter1,0,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
label,STOP:Staircase|Going_up,1
label,START:Bathroom|Showering,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_desk_plug_consumption,0,1
global_coldwater_instantaneous,0.10424149,1
global_coldwater_total,9555,1
livingroom_couch_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
bathroom_shower_hotwater_total,2064,1
office_desk_plug_consumption,0,1
livingroom_table_noise,0.356342,1
bedroom_heater1_effective_setpoint,21,1
bedroom_temperature,23.62,1
office_desk_plug_consumption,0,1
kitchen_temperature,22.54,1
bedroom_humidity,33,1
office_desk_plug_consumption,0,1
bathroom_door,OPEN,1
office_heater_command,0,1
bathroom_humidity,46,1
bathroom_luminosity,240,1
kitchen_fridge_partial_energy,123465,1
office_desk_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.08712831,1
bedroom_heater2_command,0,1
livingroom_heater2_temperature,21.7,1
kitchen_temperature,22.52,1
global_waterheater_power,125,1
kitchen_humidity,33,1
office_tv_status,OFF,1
kitchen_dishwasher_total_energy,19349,1
livingroom_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
walkway_noise,0.128664,1
office_tv_plug_consumption,0,1
global_coldwater_instantaneous,0.10605114,1
livingroom_heater1_effective_setpoint,21,1
office_desk_plug_consumption,0,1
entrance_heater_command,0,1
office_heater_temperature,22,1
livingroom_table_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
kitchen_cooktop_voltage,239.2,1
office_desk_plug_consumption,0,1
entrance_heater_command,0,1
livingroom_couch_noise,0.114282,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_coldwater_instantaneous,0.013577886,1
global_coldwater_instantaneous,0.10523206,1
kitchen_hood_power,0,1
global_waterheater_total_energy,186714,1
livingroom_tv_status,OFF,1
bathroom_shower_door,CLOSED,1
bathroom_shower_coldwater_total,398,1
livingroom_tv_status,OFF,1
kitchen_CO2,240,1
livingroom_tv_plug_consumption,1,1
bathroom_shower_coldwater_instantaneous,0.01674967,1
office_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
bathroom_shower_hotwater_total,2048,1
livingroom_tv_status,OFF,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
walkway_noise,0.981161,1
livingroom_heater2_command,0,1
global_coldwater_total,9583,1
livingroom_tv_plug_consumption,1,1
kitchen_hood_partial_energy,669,1
livingroom_couch_plug_consumption,0,1
walkway_noise,0.434693,1
livingroom_couch_plug_consumption,0,1
global_coldwater_instantaneous,0.10757927,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_total,2040,1
global_lighting_voltage,240.04,1
office_tv_status,OFF,1
office_tv_plug_consumption,0,1
bathroom_shower_coldwater_total,401,1
bathroom_shower_hotwater_instantaneous,0.086152,1
bathroom_shower_hotwater_instantaneous,0.0777272,1
kitchen_cooktop_current,0,1
kitchen_dishwasher_partial_energy,19349,1
bedroom_noise,1.61031,1
global_lighting_partial_energy,232079,1
entrance_heater_command,0,1
global_coldwater_total,9572,1
livingroom_table_plug_consumption,0,1
livingroom_humidity,35,1
office_tv_status,OFF,1
bathroom_shower_hotwater_instantaneous,0.102794476,1
livingroom_luminosity,96.96,1
livingroom_table_noise,0.187315,1
global_coldwater_instantaneous,0.105166875,1
office_tv_plug_consumption,0,1
global_waterheater_total_energy,186724,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.0895817,1
kitchen_dishwasher_total_energy,19349,1
livingroom_table_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
global_coldwater_instantaneous,0.09769681,1
global_coldwater_total,9590,1
office_desk_plug_consumption,0,1
global_coldwater_instantaneous,0.09598041,1
livingroom_table_plug_consumption,0,1
bedroom_heater2_command,0,1
global_waterheater_power,143,1
bathroom_shower_door,OPEN,1
office_desk_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
bathroom_shower_coldwater_instantaneous,0.021343157,1
livingroom_tv_plug_consumption,0,1
kitchen_fridge_total_energy,123568,1
bathroom_shower_door,CLOSED,1
bathroom_shower_hotwater_instantaneous,0.07737006,1
office_tv_plug_consumption,0,1
livingroom_temperature,22.18,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_hotwater_total,2060,1
livingroom_tv_plug_consumption,1,1
kitchen_CO2,244.96,1
office_tv_plug_consumption,0,1
bathroom_luminosity,240,1
livingroom_table_noise,0.152662,1
office_tv_plug_consumption,0,1
global_lighting_voltage,238.84,1
bathroom_heater_effective_setpoint,21,1
kitchen_oven_current,0,1
bathroom_shower_hotwater_instantaneous,0.08318166,1
livingroom_table_noise,1.1555,1
office_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
kitchen_hood_power,0,1
livingroom_couch_noise,0.161637,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_table_noise,0.394365,1
office_tv_plug_consumption,0,1
livingroom_heater1_command,0,1
kitchen_washingmachine_power,0,1
global_coldwater_instantaneous,0.09655937,1
bathroom_presence,ON,1
kitchen_cooktop_power,0,1
global_coldwater_total,9563,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
bathroom_shower_coldwater_total,403,1
livingroom_tv_plug_consumption,1,1
bathroom_shower_hotwater_instantaneous,0.076835595,1
bathroom_shower_hotwater_total,2020,1
bathroom_shower_coldwater_total,394,1
livingroom_tv_plug_consumption,0,1
bathroom_shower_hotwater_total,2044,1
global_coldwater_instantaneous,0.09586865,1
global_coldwater_total,9586,1
global_coldwater_instantaneous,0.011229347,1
livingroom_tv_plug_consumption,1,1
bathroom_shower_hotwater_total,2065,1
livingroom_table_plug_consumption,0,1
bathroom_heater_effective_setpoint,21,1
office_desk_plug_consumption,0,1
bedroom_heater1_command,36,1
entrance_heater_effective_setpoint,21,1
office_heater_command,0,1
livingroom_couch_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
kitchen_hood_current,0,1
livingroom_table_plug_consumption,0,1
global_waterheater_power,0,1
livingroom_couch_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_couch_noise,0.124466,1
livingroom_tv_plug_consumption,0,1
livingroom_CO2,561.92,1
bathroom_switch_bottom_left,ON,1
livingroom_couch_plug_consumption,0,1
bathroom_CO2,312,1
global_coldwater_instantaneous,0.095473126,1
livingroom_couch_plug_consumption,0,1
bedroom_humidity,33,1
livingroom_couch_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
bathroom_shower_hotwater_instantaneous,0.10199489,1
office_desk_plug_consumption,0,1
global_coldwater_total,9603,1
office_desk_plug_consumption,0,1
bathroom_shower_hotwater_total,2032,1
livingroom_couch_noise,0.301857,1
bathroom_light1,100,1
global_coldwater_instantaneous,0.095152915,1
global_coldwater_instantaneous,0.095737286,1
livingroom_tv_plug_consumption,1,1
bedroom_heater2_effective_setpoint,21,1
kitchen_dishwasher_voltage,239.11,1
bathroom_shower_hotwater_instantaneous,0.07975,1
kitchen_cooktop_current,0,1
bathroom_shower_hotwater_instantaneous,0.08103069,1
office_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
global_waterheater_status,ON,1
kitchen_cooktop_partial_energy,25553,1
office_desk_plug_consumption,0,1
bathroom_temperature,22.58,1
global_coldwater_total,9578,1
bathroom_shower_hotwater_total,2061,1
entrance_heater_effective_mode,1,1
kitchen_dishwasher_voltage,239.27,1
global_waterheater_status,ON,1
office_tv_status,OFF,1
livingroom_heater1_command,0,1
bathroom_shower_hotwater_total,2062,1
global_coldwater_total,9552,1
bathroom_shower_hotwater_instantaneous,0.08212326,1
livingroom_tv_status,OFF,1
global_coldwater_total,9553,1
office_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_CO2,560,1
bathroom_shower_coldwater_instantaneous,0,1
livingroom_couch_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
global_lighting_total_energy,234475,1
bathroom_luminosity,241.92,1
kitchen_washingmachine_power,0,1
office_desk_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_tv_status,OFF,1
office_tv_plug_consumption,0,1
kitchen_fridge_current,0,1
livingroom_tv_plug_consumption,0,1
global_lighting_total_energy,234471,1
bathroom_shower_hotwater_instantaneous,0.07542531,1
office_tv_plug_consumption,0,1
kitchen_dishwasher_current,0,1
global_coldwater_instantaneous,0.095745675,1
bathroom_heater_command,0,1
livingroom_table_plug_consumption,0,1
kitchen_dishwasher_current,0,1
global_coldwater_total,9609,1
livingroom_table_noise,0.612434,1
livingroom_tv_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.07678878,1
bathroom_heater_temperature,21.7,1
livingroom_tv_plug_consumption,0,1
kitchen_oven_voltage,239.04,1
bathroom_shower_hotwater_instantaneous,0.0762128,1
global_coldwater_instantaneous,0.0953928,1
livingroom_tv_plug_consumption,1,1
kitchen_dishwasher_total_energy,19349,1
office_heater_temperature,22,1
global_coldwater_total,9564,1
office_desk_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
global_coldwater_instantaneous,0,1
livingroom_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
office_tv_status,OFF,1
livingroom_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
walkway_noise,0.295455,1
bedroom_heater2_temperature,22.2,1
bathroom_shower_hotwater_total,2053,1
kitchen_cooktop_current,0,1
livingroom_table_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
kitchen_cooktop_total_energy,25553,1
global_lighting_partial_energy,232079,1
livingroom_tv_plug_consumption,0,1
walkway_noise,0.140904,1
bathroom_heater_effective_mode,1,1
bathroom_shower_hotwater_instantaneous,0.07070511,1
global_coldwater_total,9554,1
livingroom_table_plug_consumption,0,1
office_desk_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_heater1_effective_setpoint,21,1
livingroom_table_luminosity,79,1
bathroom_shower_hotwater_instantaneous,0.077008225,1
global_waterheater_status,ON,1
global_shutters_partial_energy,3795,1
livingroom_table_plug_consumption,0,1
global_waterheater_status,ON,1
livingroom_CO2,565.76,1
livingroom_couch_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_noise,0.991682,1
bedroom_heater1_command,24,1
bathroom_shower_hotwater_instantaneous,0.077504195,1
livingroom_tv_plug_consumption,0,1
bedroom_heater2_temperature,22.4,1
kitchen_hood_partial_energy,669,1
global_heaters_temperature,21.9,1
livingroom_couch_plug_consumption,0,1
global_waterheater_power,79,1
global_shutters_total_energy,3795,1
bathroom_shower_hotwater_instantaneous,0.07094714,1
kitchen_CO2,250.88,1
bathroom_shower_hotwater_total,2056,1
livingroom_tv_status,OFF,1
kitchen_washingmachine_current,0,1
bathroom_shower_hotwater_total,2033,1
livingroom_tv_plug_consumption,0,1
livingroom_heater2_command,0,1
office_tv_plug_consumption,0,1
kitchen_oven_partial_energy,14211,1
livingroom_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_coldwater_instantaneous,0.016909365,1
kitchen_washingmachine_total_energy,3942,1
kitchen_fridge_power,0,1
office_desk_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
global_waterheater_status,ON,1
walkway_noise,0.127005,1
livingroom_table_noise,0.159515,1
livingroom_table_noise,1.0002,1
livingroom_heater1_effective_mode,1,1
livingroom_tv_status,OFF,1
livingroom_table_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_couch_noise,0.357359,1
global_lighting_current,0.35,1
kitchen_fridge_current,0,1
livingroom_table_plug_consumption,0,1
bedroom_heater2_temperature,22.2,1
bedroom_heater1_temperature,23.1,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
kitchen_oven_voltage,239.38,1
livingroom_tv_plug_consumption,1,1
office_desk_plug_consumption,0,1
kitchen_washingmachine_partial_energy,3942,1
bathroom_shower_hotwater_total,2063,1
livingroom_couch_plug_consumption,0,1
bedroom_heater1_temperature,22.9,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_total,2034,1
bathroom_shower_hotwater_total,2049,1
office_desk_plug_consumption,0,1
bedroom_heater1_effective_setpoint,21,1
kitchen_hood_voltage,238.98,1
walkway_noise,0.174471,1
global_coldwater_total,9559,1
bedroom_noise,0.709132,1
kitchen_cooktop_power,0,1
bathroom_shower_hotwater_instantaneous,0.07844771,1
global_coldwater_total,9598,1
office_tv_status,OFF,1
livingroom_tv_plug_consumption,1,1
global_coldwater_total,9600,1
global_shutters_voltage,238.86,1
global_coldwater_instantaneous,0.10127271,1
livingroom_tv_plug_consumption,1,1
bathroom_shower_hotwater_total,2045,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
bathroom_humidity,48,1
bathroom_shower_coldwater_instantaneous,0.016951388,1
bedroom_temperature,23.62,1
bathroom_luminosity,241.92,1
livingroom_table_plug_consumption,0,1
global_lighting_power,62,1
livingroom_table_plug_consumption,0,1
office_desk_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.07723183,1
bedroom_humidity,33,1
bathroom_light2,100,1
office_desk_plug_consumption,0,1
livingroom_table_noise,2.42723,1
livingroom_tv_plug_consumption,0,1
livingroom_table_noise,1.06537,1
office_tv_plug_consumption,0,1
bathroom_temperature,22.64,1
livingroom_couch_plug_consumption,0,1
livingroom_table_noise,0.18045,1
entrance_heater_temperature,22.1,1
global_shutters_power,0,1
bedroom_CO2,587.84,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_coldwater_instantaneous,0.028625742,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.07698778,1
livingroom_tv_plug_consumption,0,1
global_lighting_partial_energy,232088,1
bathroom_shower_hotwater_total,2043,1
office_tv_plug_consumption,0,1
global_coldwater_instantaneous,0,1
office_tv_plug_consumption,0,1
bedroom_humidity,33,1
office_desk_plug_consumption,0,1
bedroom_heater1_command,24,1
kitchen_washingmachine_total_energy,3942,1
office_tv_plug_consumption,0,1
livingroom_tv_status,OFF,1
bedroom_heater1_command,22,1
bathroom_presence,ON,1
global_shutters_total_energy,3795,1
kitchen_cooktop_voltage,238.94,1
livingroom_couch_plug_consumption,0,1
global_coldwater_total,9579,1
global_coldwater_instantaneous,0.10447347,1
livingroom_couch_plug_consumption,0,1
office_heater_effective_setpoint,21,1
livingroom_couch_plug_consumption,0,1
kitchen_washingmachine_voltage,238.83,1
global_coldwater_instantaneous,0.10208068,1
kitchen_dishwasher_power,0,1
livingroom_couch_plug_consumption,0,1
livingroom_heater2_effective_setpoint,21,1
office_heater_effective_mode,1,1
bathroom_shower_hotwater_instantaneous,0.07835804,1
bathroom_shower_hotwater_instantaneous,0.07569538,1
livingroom_tv_plug_consumption,0,1
bathroom_shower_hotwater_total,2059,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_desk_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
global_coldwater_total,9567,1
global_heaters_temperature,21.9,1
office_tv_plug_consumption,0,1
livingroom_table_noise,0.110328,1
office_desk_plug_consumption,0,1
livingroom_couch_noise,0.299322,1
kitchen_fridge_power,55,1
office_desk_plug_consumption,0,1
kitchen_cooktop_voltage,239.34,1
kitchen_washingmachine_total_energy,3942,1
livingroom_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_heater_command,0,1
livingroom_couch_plug_consumption,0,1
global_coldwater_total,9597,1
bathroom_shower_coldwater_instantaneous,0.02987829,1
kitchen_hood_power,0,1
livingroom_couch_plug_consumption,0,1
livingroom_tv_status,OFF,1
livingroom_tv_plug_consumption,0,1
livingroom_table_noise,0.464492,1
livingroom_tv_status,OFF,1
kitchen_oven_voltage,239.54,1
livingroom_tv_plug_consumption,1,1
office_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
global_coldwater_total,9566,1
livingroom_tv_plug_consumption,1,1
livingroom_couch_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
kitchen_washingmachine_total_energy,3942,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_total,2029,1
livingroom_couch_plug_consumption,0,1
bathroom_shower_hotwater_total,2030,1
livingroom_table_luminosity,68,1
kitchen_dishwasher_partial_energy,19349,1
global_coldwater_instantaneous,0.09640199,1
bathroom_luminosity,252,1
office_tv_plug_consumption,0,1
global_lighting_voltage,238.36,1
bathroom_luminosity,214.88,1
bathroom_shower_coldwater_total,395,1
bathroom_shower_hotwater_total,2054,1
office_desk_plug_consumption,0,1
office_tv_plug_consumption,0,1
livingroom_table_noise,0.509135,1
kitchen_temperature,22.56,1
livingroom_table_plug_consumption,0,1
bedroom_heater2_temperature,22.4,1
global_coldwater_instantaneous,0.09310969,1
office_desk_plug_consumption,0,1
kitchen_hood_total_energy,669,1
livingroom_couch_noise,0.335173,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
office_desk_plug_consumption,0,1
office_desk_plug_consumption,0,1
office_tv_plug_consumption,0,1
bedroom_heater1_temperature,23.3,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_total,2022,1
global_waterheater_partial_energy,186224,1
bathroom_humidity,49,1
livingroom_table_noise,1.11746,1
global_coldwater_instantaneous,0.09505327,1
global_coldwater_total,9604,1
bathroom_shower_hotwater_instantaneous,0.07761324,1
kitchen_oven_current,0,1
global_coldwater_total,9573,1
bathroom_shower_hotwater_instantaneous,0.08006979,1
office_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
kitchen_fridge_power,0,1
livingroom_tv_status,OFF,1
livingroom_couch_plug_consumption,0,1
bedroom_heater1_effective_setpoint,21,1
livingroom_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_heater1_temperature,21.9,1
bedroom_heater1_temperature,22.9,1
livingroom_tv_plug_consumption,1,1
bedroom_heater1_effective_mode,1,1
global_coldwater_total,9610,1
bathroom_switch_top_left,ON,1
livingroom_table_plug_consumption,0,1
global_waterheater_voltage,239.45,1
global_shutters_current,0,1
livingroom_table_plug_consumption,0,1
global_lighting_power,17,1
global_coldwater_instantaneous,0.0955678,1
livingroom_table_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
office_desk_plug_consumption,0,1
global_shutters_power,0,1
global_lighting_current,0.35,1
global_coldwater_instantaneous,0.103512436,1
livingroom_table_noise,0.280776,1
office_desk_plug_consumption,0,1
bedroom_heater2_command,0,1
livingroom_table_plug_consumption,0,1
bathroom_shower_door,OPEN,1
office_tv_plug_consumption,0,1
global_lighting_power,35,1
livingroom_table_plug_consumption,0,1
bathroom_shower_coldwater_total,396,1
global_coldwater_total,9594,1
global_coldwater_instantaneous,0.1030356,1
bathroom_shower_hotwater_total,2051,1
office_tv_plug_consumption,0,1
bathroom_shower_coldwater_instantaneous,0.021326836,1
livingroom_table_plug_consumption,0,1
bathroom_temperature,22.8,1
bathroom_shower_hotwater_instantaneous,0.076767735,1
livingroom_couch_plug_consumption,0,1
bedroom_heater1_command,35,1
office_tv_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0,1
bathroom_shower_hotwater_total,2068,1
office_desk_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_tv_status,OFF,1
bathroom_shower_coldwater_total,400,1
bathroom_humidity,36,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
walkway_noise,0.788626,1
global_coldwater_total,9593,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_total,2025,1
bathroom_shower_hotwater_instantaneous,0.07789775,1
global_coldwater_instantaneous,0.10438262,1
livingroom_tv_plug_consumption,0,1
office_tv_plug_consumption,0,1
global_waterheater_power,0,1
livingroom_table_plug_consumption,0,1
global_coldwater_total,9605,1
global_waterheater_power,113,1
livingroom_table_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
kitchen_oven_power,0,1
livingroom_table_noise,0.685857,1
global_waterheater_partial_energy,186231,1
livingroom_table_plug_consumption,0,1
kitchen_fridge_voltage,240.42,1
office_desk_plug_consumption,0,1
global_shutters_current,0,1
office_desk_plug_consumption,0,1
livingroom_temperature,22.2,1
office_desk_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_noise,0.366267,1
bathroom_switch_top_left,OFF,1
office_tv_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.073163435,1
kitchen_hood_total_energy,669,1
kitchen_fridge_partial_energy,123465,1
bathroom_heater_command,0,1
kitchen_cooktop_partial_energy,25553,1
global_waterheater_status,ON,1
global_waterheater_power,140,1
global_coldwater_total,9585,1
office_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
kitchen_washingmachine_partial_energy,3942,1
kitchen_fridge_total_energy,123568,1
livingroom_table_noise,0.387053,1
livingroom_tv_plug_consumption,1,1
livingroom_table_plug_consumption,0,1
kitchen_dishwasher_power,0,1
office_tv_plug_consumption,0,1
bedroom_heater2_command,0,1
office_tv_plug_consumption,0,1
global_coldwater_instantaneous,0.006026186,1
kitchen_luminosity,33,1
global_coldwater_instantaneous,0.09600487,1
livingroom_table_plug_consumption,0,1
livingroom_temperature,22.18,1
livingroom_table_plug_consumption,0,1
kitchen_cooktop_partial_energy,25553,1
kitchen_hood_total_energy,669,1
global_waterheater_partial_energy,186233,1
bathroom_shower_hotwater_total,2036,1
livingroom_table_noise,0.236329,1
office_tv_status,OFF,1
livingroom_table_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
bathroom_heater_effective_mode,1,1
livingroom_table_plug_consumption,0,1
bathroom_shower_hotwater_instantaneous,0.086542904,1
office_desk_plug_consumption,0,1
bedroom_heater1_effective_mode,1,1
kitchen_fridge_voltage,239.45,1
office_heater_temperature,22.2,1
