Time,ItemName,Value
08/02/2024 08:12:54,bedroom_switch_top_left,OFF
08/02/2024 08:13:05,bedroom_door,CLOSED
08/02/2024 08:13:10,bedroom_presence,OFF
08/02/2024 08:14:21,bedroom_closet_door,OPEN
08/02/2024 08:15:28,bedroom_closet_door,CLOSED
08/02/2024 08:15:37,bedroom_switch_middle_right,ON
08/02/2024 08:15:44,bedroom_switch_top_right,ON
08/02/2024 08:15:58,bedroom_switch_bottom_right,ON
08/02/2024 08:16:10,bedroom_switch_middle_right,OFF
08/02/2024 08:16:21,bedroom_switch_top_right,OFF
08/02/2024 08:16:31,bedroom_switch_bottom_right,OFF
08/02/2024 08:16:31,label,STOP:Bedroom|Cleaning
08/02/2024 08:16:31,label,START:Office|Computing
08/02/2024 08:16:40,office_door,OPEN
08/02/2024 08:16:54,office_switch_left,ON
08/02/2024 08:17:04,office_presence,ON
08/02/2024 08:17:18,office_switch_left,OFF
08/02/2024 08:17:24,office_door,CLOSED
08/02/2024 08:18:29,office_presence,OFF
08/02/2024 10:50:16,label,STOP:Office|Computing
08/02/2024 10:50:16,label,START:Office|Watching_TV
08/02/2024 10:50:21,office_presence,ON
08/02/2024 10:51:33,office_tv_status,ON
08/02/2024 11:11:41,office_tv_status,OFF
08/02/2024 11:11:48,office_switch_middle,ON
08/02/2024 11:11:55,office_switch_middle,OFF
08/02/2024 11:12:06,office_switch_right,ON
08/02/2024 11:13:11,office_switch_right,OFF
08/02/2024 11:13:24,office_door,OPEN
08/02/2024 11:13:29,office_door,CLOSED
08/02/2024 11:13:37,office_presence,OFF
08/02/2024 11:13:37,label,STOP:Office|Watching_TV
08/02/2024 11:13:37,label,START:Staircase|Going_down
08/02/2024 11:13:45,walkway_switch1_bottom_left,ON
08/02/2024 11:13:51,walkway_switch1_top_left,ON
08/02/2024 11:13:58,walkway_switch1_bottom_left,OFF
08/02/2024 11:14:05,walkway_switch1_top_left,OFF
08/02/2024 11:14:14,kitchen_presence,ON
08/02/2024 11:14:28,livingroom_presence_table,ON
08/02/2024 11:14:37,livingroom_presence_couch,ON
08/02/2024 11:14:49,kitchen_presence,OFF
08/02/2024 11:14:54,livingroom_presence_table,OFF
08/02/2024 11:15:06,livingroom_presence_couch,OFF
08/02/2024 11:15:06,label,STOP:Staircase|Going_down
08/02/2024 11:15:06,label,START:Kitchen|Preparing
08/02/2024 11:15:14,kitchen_switch_bottom_left,ON
08/02/2024 11:15:27,kitchen_switch_bottom_left,OFF
08/02/2024 11:15:38,kitchen_switch_top_left,ON
08/02/2024 11:15:49,kitchen_switch_top_left,OFF
08/02/2024 11:15:57,kitchen_fridge_door,OPEN
08/02/2024 11:16:06,kitchen_fridge_door,CLOSED
08/02/2024 11:16:14,livingroom_presence_table,ON
08/02/2024 11:17:24,kitchen_cupboard3,OPEN
08/02/2024 11:17:38,kitchen_cupboard3,CLOSED
08/02/2024 11:17:47,kitchen_cupboard4,OPEN
08/02/2024 11:17:57,kitchen_cupboard4,CLOSED
08/02/2024 11:18:03,kitchen_cupboard1,OPEN
08/02/2024 11:18:12,kitchen_cupboard1,CLOSED
08/02/2024 11:18:17,livingroom_presence_couch,ON
08/02/2024 11:18:29,livingroom_presence_table,OFF
08/02/2024 11:18:39,livingroom_presence_couch,OFF
08/02/2024 11:18:39,label,STOP:Kitchen|Preparing
08/02/2024 11:18:39,label,START:Kitchen|Cooking
08/02/2024 11:19:46,livingroom_presence_table,ON
08/02/2024 11:19:51,livingroom_presence_table,OFF
08/02/2024 11:20:03,kitchen_fridge_door,OPEN
08/02/2024 11:20:12,kitchen_fridge_door,CLOSED
08/02/2024 11:21:17,kitchen_presence,ON
08/02/2024 11:21:29,livingroom_presence_couch,ON
08/02/2024 11:21:37,livingroom_presence_couch,OFF
08/02/2024 11:29:51,kitchen_switch_top_right,ON
08/02/2024 11:29:57,kitchen_switch_top_right,OFF
08/02/2024 11:30:11,kitchen_switch_bottom_right,ON
08/02/2024 11:30:17,kitchen_switch_bottom_right,OFF
08/02/2024 11:30:28,kitchen_presence,OFF
08/02/2024 11:30:28,label,STOP:Kitchen|Cooking
08/02/2024 11:30:28,label,START:Living_room|Eating
08/02/2024 11:30:35,livingroom_presence_couch,ON
08/02/2024 11:30:45,livingroom_presence_couch,OFF
08/02/2024 11:31:52,livingroom_presence_table,ON
08/02/2024 11:44:57,kitchen_presence,ON
08/02/2024 11:45:05,livingroom_presence_table,OFF
08/02/2024 11:45:18,kitchen_presence,OFF
08/02/2024 11:45:18,label,STOP:Living_room|Eating
08/02/2024 11:45:18,label,START:Kitchen|Washing_the_dishes
08/02/2024 11:45:23,kitchen_switch_bottom_left,ON
08/02/2024 11:45:30,kitchen_switch_top_left,ON
08/02/2024 11:45:42,kitchen_switch_bottom_left,OFF
08/02/2024 11:45:48,kitchen_switch_top_left,OFF
08/02/2024 11:45:58,livingroom_presence_table,ON
08/02/2024 11:49:05,kitchen_cupboard3,OPEN
08/02/2024 11:50:15,kitchen_cupboard3,CLOSED
08/02/2024 11:50:20,kitchen_switch_bottom_right,ON
08/02/2024 11:50:25,kitchen_switch_top_right,ON
08/02/2024 11:50:30,kitchen_switch_bottom_right,OFF
08/02/2024 11:50:44,kitchen_switch_top_right,OFF
08/02/2024 11:51:57,livingroom_presence_table,OFF
08/02/2024 11:51:57,label,STOP:Kitchen|Washing_the_dishes
08/02/2024 11:51:57,label,START:Living_room|Cleaning
08/02/2024 11:52:11,livingroom_presence_table,ON
08/02/2024 11:52:25,livingroom_presence_couch,ON
08/02/2024 11:52:37,kitchen_cupboard1,OPEN
08/02/2024 11:52:47,kitchen_cupboard1,CLOSED
08/02/2024 11:53:57,livingroom_presence_couch,OFF
08/02/2024 11:54:10,livingroom_presence_table,OFF
08/02/2024 11:54:10,label,STOP:Living_room|Cleaning
08/02/2024 11:54:10,label,START:Living_room|Computing
08/02/2024 11:54:18,kitchen_presence,ON
08/02/2024 11:55:23,livingroom_presence_table,ON
08/02/2024 11:55:31,livingroom_presence_couch,ON
08/02/2024 12:24:37,kitchen_presence,OFF
08/02/2024 12:24:51,livingroom_presence_table,OFF
08/02/2024 12:25:05,livingroom_presence_couch,OFF
08/02/2024 12:25:32,label,STOP:Living_room|Computing
08/02/2024 12:25:32,label,START:Staircase|Going_up
08/02/2024 12:25:43,staircase_switch_left,ON
08/02/2024 12:25:55,staircase_switch_left,OFF
08/02/2024 12:26:08,walkway_switch1_top_right,ON
08/02/2024 12:26:14,walkway_switch1_top_right,OFF
08/02/2024 12:26:25,label,STOP:Staircase|Going_up
08/02/2024 12:26:25,label,START:Bathroom|Using_the_sink
08/02/2024 12:26:30,bathroom_switch_bottom_left,ON
08/02/2024 12:26:39,bathroom_door,OPEN
08/02/2024 12:26:45,bathroom_presence,ON
08/02/2024 12:26:54,bathroom_switch_bottom_left,OFF
08/02/2024 12:26:59,bathroom_switch_top_left,ON
08/02/2024 12:27:09,bathroom_switch_top_left,OFF
08/02/2024 12:27:19,bathroom_door,CLOSED
08/02/2024 12:28:26,bathroom_presence,OFF
08/02/2024 12:29:39,bathroom_switch_bottom_right,ON
08/02/2024 12:29:45,bathroom_switch_top_right,ON
08/02/2024 12:29:57,bathroom_switch_bottom_right,OFF
08/02/2024 12:30:09,bathroom_switch_top_right,OFF
08/02/2024 12:30:09,label,STOP:Bathroom|Using_the_sink
08/02/2024 12:30:09,label,START:Staircase|Going_down
08/02/2024 12:30:22,walkway_switch2_top_right,ON
08/02/2024 12:30:32,walkway_switch2_top_right,OFF
08/02/2024 12:30:42,walkway_switch2_top_left,ON
08/02/2024 12:30:47,walkway_switch2_top_left,OFF
08/02/2024 12:31:54,kitchen_presence,ON
08/02/2024 12:32:02,staircase_switch_left,ON
08/02/2024 12:32:15,livingroom_presence_table,ON
08/02/2024 12:32:27,staircase_switch_left,OFF
08/02/2024 12:32:34,kitchen_presence,OFF
08/02/2024 12:32:44,livingroom_presence_table,OFF
08/02/2024 12:32:44,label,STOP:Staircase|Going_down
08/02/2024 12:32:44,label,START:Entrance|Leaving
08/02/2024 12:32:54,staircase_switch_right,ON
08/02/2024 12:33:03,staircase_switch_right,OFF
08/02/2024 12:33:08,livingroom_presence_table,ON
08/02/2024 12:33:17,livingroom_switch2_top_left,ON
08/02/2024 12:33:29,livingroom_switch2_top_right,ON
08/02/2024 12:33:36,livingroom_switch2_top_left,OFF
08/02/2024 12:33:47,livingroom_switch2_top_right,OFF
08/02/2024 12:33:55,livingroom_presence_table,OFF
08/02/2024 12:34:00,kitchen_presence,ON
08/02/2024 12:35:06,entrance_door,OPEN
08/02/2024 12:35:18,entrance_door,CLOSED
08/02/2024 12:35:23,kitchen_presence,OFF
08/02/2024 12:35:23,label,STOP:Entrance|Leaving
